label	content
1	1:...体验。难以想象在人的个性与自由空间都被压抑的社会里，情感与心理世界能够天马行空，[飞翔]到朴素感情之外。
0	2:...各样的动物；海洋里，有绚丽的珊瑚礁，鱼儿在欢快地游动；天空中，鸟儿、蜜蜂在自由地[飞翔]；地下，蚂蚁在忙碌地建造家园。
0	"3:...手段。这样，即使在波涛滚滚的江河中，人们也能让船只航行自如。鸟儿展翅可在空中自由[飞翔]。据《韩非子》记载鲁班用竹木作鸟""成而飞之，三日不下""。然而人们更希望仿制鸟儿的双翅使自己也[飞翔]在空中。设计和制造了一架扑翼机，这是世界上第一架人造飞行器。"
0	4:...缘的远端上安放一个加重装置，这样就把有害的振动消除了。可是，昆虫早在三亿年以前就[飞翔]在空中了，它们也毫不例外地受到颤振的危害，经过长期的进化，昆虫早已成功地获得防止颤...
0	5:...虫的后翅已经退化为平衡槌，但偶尔会出现有两对翅膀的个体；家养的鸡、鸭、鹅已经失去[飞翔]的能力，但偶尔也会出现飞行能力特别强的个体。人类也有返祖现象，常见的有先天性遗传多...
0	6:...皮肤扩张程度，把不同种的鼯鼠按其皮肤扩张情况，从微小扩张到几乎完善到能用于滑翔或[飞翔]的皮翅，排列成渐变的序列，并由此推论这一类动物[飞翔]器官的进化途径。
0	7:...鱼不大用牙齿咀嚼，因而齿退化。又如鼹鼠因生活于地下不需使用眼睛，因而眼退化；不大[飞翔]的昆虫及家禽，其翅退化；水鸟由于用足掌划水时经常用力张开足趾，使足间皮肤扩张而形成...
0	8:...称为磁暴。磁暴发生时会导致地球上短波无线电通讯中断、罗盘指针剧烈颤动而失去作用、[飞翔]中的鸟类迷失方向等现象，可以对于人类的通讯、交通、军事等活动造成直接危害。
1	9:...路和专业主义激情，放大了东方文化与西方文化的互补、传统文明与现代文明的整合。十年[飞翔]，他们用大地背负着天空的理想，又用天空辉映了大地的期许。凤凰的声音，表现在话语权，...
0	10:...活动，这不是天眼通吗？电话通讯穿越重重叠叠的关山，这不是天耳通吗？飞机像鸟儿一样[飞翔]于天际，这不是神足通吗？只要我们稍加留意，就会发现生活本身就是神通，只是我们习以为...
0	11:...，就要像天空中的鸟和水中的鱼一样，让自己的羽毛和鳞片光滑无染，不被物坠，才能顺风[飞翔]，迎浪溯远。
1	12:...崖以后，我也是在当天晚上就说“韩国总统卢武铉先生完成了他人生第一次，也是最后一次[飞翔]。不知道台湾那个人会怎么想？”接着我就模仿陈水扁的语调：“阿扁错了吗？阿扁错了吗？...
1	13:　　我喜欢梦想，喜欢在梦想中[飞翔]的感觉！
1	14:...走回头路不是她的性格。她又滑了下去。奇怪，这次滑行，她发现自己好像是在银色的天空[飞翔]，全然没有了那种堕入深渊的感觉。同时，她还看到艾达在下面朝自己招手。可能是因为看到...
0	15:...儿妈妈给自己的孩子搭建了一个舒适的家，又含辛茹苦地把鸟儿养大。但是当鸟儿能够展翅[飞翔]的时候，它们没有捆住鸟儿的翅膀，让孩子们待在家里。因为它们知道，孩子只有飞到外面的...
1	16:...当然，这并不是说让家长放弃对孩子的管教。家长要像小鸟妈妈那样，远远地观察着孩子的[飞翔]路线，一旦孩子们偏离了航道，或是受了伤，折断了翅膀，要把它们迎进家门，用母亲的情爱和旷达的胸怀温暖它们，呵护它们，帮助教育它们，使它们用最短的时间康复，重新飞回广阔的天空。人生不会是一条上扬的直线，孩子们奋飞的过程也不会没有波折。我们做家长的不应该把孩子作为实现自己理想的工具，应该让他们在自由[飞翔]之中，找到自己的人生目标。你放心，如果他们确立了自己飞行的目的地，而这个目标又不是...
